Date,Close,Open,High,Low,Volume,daily_change,Index
2016-01-04,25623.349609,26116.519531,26116.519531,25596.570313,9100,-1.8883447368039,BombayStockMarketIndex
2016-01-05,25580.339844,25744.699219,25766.759766,25513.75,10300,-0.638420257319224,BombayStockMarketIndex
2016-01-06,25406.330078,25628.230469,25632.570313,25357.699219,13400,-0.865843590990064,BombayStockMarketIndex
2016-01-07,24851.830078,25224.699219,25230.349609,24825.699219,11800,-1.47819063277132,BombayStockMarketIndex
2016-01-08,24934.330078,24969.019531,25083.550781,24887.220703,15900,-0.138929976633381,BombayStockMarketIndex
2016-01-11,24825.039063,24787.109375,24961.880859,24598.900391,10600,0.153021828508392,BombayStockMarketIndex
2016-01-12,24682.029297,24862.929688,24882.300781,24597.109375,10300,-0.727590807962225,BombayStockMarketIndex
2016-01-13,24854.109375,24804.640625,24956.539063,24387.689453,14000,0.199433447748248,BombayStockMarketIndex
2016-01-14,24772.970703,24606.199219,25018.460938,24473.220703,14900,0.67776206522471,BombayStockMarketIndex
2016-01-15,24455.039063,24881.759766,24912.640625,24421.529297,12700,-1.71499406397733,BombayStockMarketIndex
2016-01-18,24188.369141,24400.779297,24524.849609,24141.990234,13600,-0.870505623671277,BombayStockMarketIndex
2016-01-19,24479.839844,24257.279297,24563.339844,24247.230469,9400,0.91750003895747,BombayStockMarketIndex
2016-01-20,24062.039063,24325.769531,24325.769531,23839.759766,12800,-1.0841608429444,BombayStockMarketIndex
2016-01-21,23962.210938,24194.75,24351.830078,23862,13200,-0.961113720951859,BombayStockMarketIndex
2016-01-22,24435.660156,24122.060547,24472.880859,24120.039063,10100,1.30005315420287,BombayStockMarketIndex
2016-01-25,24485.949219,24540.970703,24650.570313,24433.669922,8900,-0.224202557697829,BombayStockMarketIndex
2016-01-27,24492.390625,24643.130859,24645.699219,24458.130859,8500,-0.611692706022167,BombayStockMarketIndex
2016-01-28,24469.570313,24481.859375,24587.199219,24400.519531,8400,-0.0501966039905816,BombayStockMarketIndex
2016-01-29,24870.689453,24347.310547,24911.900391,24340.060547,12400,2.14963745169993,BombayStockMarketIndex
2016-02-01,24824.830078,24982.220703,25002.320313,24788.580078,10100,-0.630010545784265,BombayStockMarketIndex
2016-02-02,24539,24868.210938,24928.75,24460.529297,12700,-1.32382236430586,BombayStockMarketIndex
2016-02-03,24223.320313,24393.589844,24409.259766,24187.539063,12200,-0.698009321665621,BombayStockMarketIndex
2016-02-04,24338.429688,24386.449219,24514.009766,24224.740234,12200,-0.196910712866657,BombayStockMarketIndex
2016-02-05,24616.970703,24360.359375,24672.900391,24345.789063,13400,1.05339713610033,BombayStockMarketIndex
2016-02-08,24287.419922,24637.410156,24698.949219,24196.839844,11700,-1.42056422239156,BombayStockMarketIndex
2016-02-09,24020.980469,24076.849609,24111.189453,23919.470703,11500,-0.23204505949615,BombayStockMarketIndex
2016-02-10,23758.900391,23938.320313,23938.320313,23636.720703,19400,-0.749509237298344,BombayStockMarketIndex
2016-02-11,22951.830078,23758.460938,23758.460938,22909.119141,23200,-3.39513094768631,BombayStockMarketIndex
2016-02-12,22986.119141,23060.390625,23161.150391,22600.390625,25100,-0.322073833040288,BombayStockMarketIndex
2016-02-15,23554.119141,23223.429688,23622.640625,23197.669922,20400,1.42394752817614,BombayStockMarketIndex
2016-02-16,23191.970703,23688.609375,23692.080078,23164.539063,22200,-2.09652945066557,BombayStockMarketIndex
2016-02-17,23381.869141,23237.230469,23434.910156,22920.839844,16600,0.622443678014721,BombayStockMarketIndex
2016-02-18,23649.220703,23536.470703,23735.349609,23448.210938,15700,0.479043784528105,BombayStockMarketIndex
2016-02-19,23709.150391,23640.320313,23774.480469,23508.359375,11600,0.291155437357373,BombayStockMarketIndex
2016-02-22,23788.789063,23783.470703,23855.039063,23674.859375,9500,0.0223615807230787,BombayStockMarketIndex
2016-02-23,23410.179688,23850.410156,23851.509766,23361.939453,16700,-1.84579831172947,BombayStockMarketIndex
2016-02-24,23088.929688,23332.939453,23338.890625,23057.449219,14000,-1.04577378898836,BombayStockMarketIndex
2016-02-25,22976,23105.160156,23142.960938,22948.099609,15900,-0.559010000917311,BombayStockMarketIndex
2016-02-26,23154.300781,23141.080078,23227.910156,23021.939453,11500,0.0571308813393351,BombayStockMarketIndex
2016-02-29,23002,23238.5,23343.220703,22494.609375,58900,-1.01770768337027,BombayStockMarketIndex
2016-03-01,23779.349609,23153.320313,23821.490234,23133.179688,15700,2.70384241887113,BombayStockMarketIndex
2016-03-02,24242.980469,24044.960938,24280.419922,24043.890625,22800,0.823538584698025,BombayStockMarketIndex
2016-03-03,24606.990234,24386.669922,24640.509766,24383.279297,19500,0.903445663982362,BombayStockMarketIndex
2016-03-04,24646.480469,24704.589844,24719.050781,24531.800781,17500,-0.235216918665472,BombayStockMarketIndex
2016-03-08,24659.230469,24655.189453,24793.619141,24509.210938,26000,0.0163901234979458,BombayStockMarketIndex
2016-03-09,24793.960938,24527.269531,24820.759766,24451.599609,11900,1.08732611537916,BombayStockMarketIndex
2016-03-10,24623.339844,24815.699219,24817.480469,24471.390625,14400,-0.775151944349491,BombayStockMarketIndex
2016-03-11,24717.990234,24620.390625,24817.800781,24552.259766,14800,0.396417792416731,BombayStockMarketIndex
2016-03-14,24804.279297,24801.699219,24960.509766,24734.039063,30100,0.0104028275531466,BombayStockMarketIndex
2016-03-15,24551.169922,24832.039063,24840.769531,24517.279297,12100,-1.13107562487084,BombayStockMarketIndex
2016-03-16,24682.480469,24537.609375,24706.849609,24354.550781,11000,0.590404272013554,BombayStockMarketIndex
